SampleID,Env
R252,Centenarians
R235,Centenarians
R145,Centenarians
R163,Centenarians
R27,Centenarians
R254,Centenarians
R79,Centenarians
R191,Centenarians
R115,Centenarians
R227,Centenarians
R154,Centenarians
R101,Centenarians
R255,Centenarians
R46,Centenarians
R222,Centenarians
R97,Centenarians
R105,Centenarians
R242,Centenarians
R180,Centenarians
R102,Centenarians
R172,Centenarians
R230,Centenarians
R171,Centenarians
R233,Centenarians
R55,Centenarians
R228,Centenarians
R151,Centenarians
R169,Centenarians
R211,Centenarians
R14,Centenarians
R192,Centenarians
R142,Centenarians
R107,Centenarians
R173,Centenarians
R93,Centenarians
R40,Centenarians
R49,Centenarians
R13,Centenarians
R248,Centenarians
R98,Centenarians
R74,Centenarians
R132,Centenarians
R210,Centenarians
R61,Centenarians
R232,Centenarians
R80,Centenarians
R44,Centenarians
R100,Centenarians
R182,Centenarians
R152,Centenarians
R67,Centenarians
R135,Centenarians
R156,Centenarians
R225,Centenarians
R34,Centenarians
R109,Centenarians
R103,Centenarians
R52,Centenarians
R251,Centenarians
R195,Centenarians
R133,Centenarians
R203,Centenarians
R158,Centenarians
R253,Centenarians
R193,Centenarians
R47,Centenarians
R197,Centenarians
R99,Centenarians
R64,Centenarians
R76,Centenarians
R247,Centenarians
R165,Centenarians
R176,Centenarians
R53,Centenarians
R166,Centenarians
R104,Centenarians
R141,Centenarians
R174,Centenarians
R51,Centenarians
